date,quantity,status
2021-05-02,0.0,recorded
2021-05-03,0.0,recorded
2021-05-04,542.0,recorded
2021-05-05,3214.9999999999995,recorded
2021-05-06,3938.0000000000005,recorded
2021-05-07,4122.000000000001,recorded
2021-05-08,2507.000000000001,recorded
2021-05-09,2707.0,recorded
2021-05-10,5988.000000000003,recorded
2021-05-11,3399.000000000001,recorded
2021-05-12,3364.000000000001,recorded
2021-05-13,5536.000000000002,recorded
2021-05-14,3860.000000000002,recorded
2021-05-15,2265.000000000001,recorded
2021-05-16,1021.9999999999999,recorded
2021-05-17,5169.000000000002,recorded
2021-05-18,2954.0000000000027,recorded
2021-05-19,5394.000000000003,recorded
2021-05-20,5163.000000000001,recorded
2021-05-21,3859.000000000001,recorded
2021-05-22,2445.0000000000005,recorded
2021-05-23,2111.0000000000005,recorded
2021-05-24,5722.000000000003,recorded
2021-05-25,2264.0000000000005,recorded
2021-05-26,2555.000000000002,recorded
2021-05-27,5701.0,recorded
2021-05-28,4342.000000000001,recorded
2021-05-29,2354.0000000000005,recorded
2021-05-30,1497.0000000000002,recorded
2021-05-31,4657.0,recorded
2021-06-01,4207.000000000002,recorded
2021-06-02,3157.0000000000027,recorded
2021-06-03,5209.000000000003,recorded
2021-06-04,4917.000000000002,recorded
2021-06-05,2480.000000000001,recorded
2021-06-06,3352.0,recorded
2021-06-07,4743.000000000003,recorded
2021-06-08,4124.000000000003,recorded
2021-06-09,5315.0,recorded
2021-06-10,5489.000000000002,recorded
2021-06-11,4087.0,recorded
2021-06-12,2314.000000000001,recorded
2021-06-13,2907.0,recorded
2021-06-14,4912.000000000005,recorded
2021-06-15,3620.000000000002,recorded
2021-06-16,2760.0000000000005,recorded
2021-06-17,6997.999999999999,recorded
2021-06-18,3669.0000000000027,recorded
2021-06-19,2268.0000000000014,recorded
2021-06-20,2216.0,recorded
2021-06-21,3523.9999999999995,recorded
2021-06-22,4044.0000000000027,recorded
2021-06-23,3280.000000000002,recorded
2021-06-24,7048.000000000004,recorded
2021-06-25,3134.0000000000023,recorded
2021-06-26,2266.0000000000014,recorded
2021-06-27,2683.0,recorded
2021-06-28,4647.000000000003,recorded
2021-06-29,3525.000000000002,recorded
2021-06-30,5298.000000000002,recorded
2021-07-01,3684.000000000002,recorded
2021-07-02,3346.0000000000014,recorded
2021-07-03,1651.0000000000005,recorded
2021-07-04,1434.0,recorded
2021-07-05,5177.000000000003,recorded
2021-07-06,3044.0000000000014,recorded
2021-07-07,4016.0000000000014,recorded
2021-07-08,3725.000000000001,recorded
2021-07-09,3912.0000000000005,recorded
2021-07-10,1760.0,recorded
2021-07-11,1423.0,recorded
2021-07-12,3711.0000000000023,recorded
2021-07-13,2690.0000000000005,recorded
2021-07-14,4110.0,recorded
2021-07-15,4235.0,recorded
2021-07-16,3031.000000000001,recorded
2021-07-17,1441.9999999999993,recorded
2021-07-18,2676.0,recorded
2021-07-19,3263.0000000000014,recorded
2021-07-20,3246.000000000001,recorded
2021-07-21,2520.0,recorded
2021-07-22,3655.0,recorded
2021-07-23,3319.0000000000023,recorded
2021-07-24,2141.0000000000005,recorded
2021-07-25,2487.0,recorded
2021-07-26,4058.0000000000027,recorded
2021-07-27,3662.0,recorded
2021-07-28,4344.000000000005,recorded
2021-07-29,4693.000000000001,recorded
2021-07-30,3601.0000000000023,recorded
2021-07-31,1838.0000000000005,recorded
2021-08-01,1898.0,recorded
2021-08-02,3866.0000000000023,recorded
2021-08-03,3099.000000000001,recorded
2021-08-04,4256.000000000001,recorded
2021-08-05,4046.0,recorded
2021-08-06,3152.000000000001,recorded
2021-08-07,1700.9999999999993,recorded
2021-08-08,618.0,recorded
2021-08-09,4400.000000000001,recorded
2021-08-10,3313.0,recorded
2021-08-11,3393.0000000000005,recorded
2021-08-12,3800.000000000001,recorded
2021-08-13,2068.0000000000005,recorded
2021-08-14,1250.0,recorded
2021-08-15,868.0,recorded
2021-08-16,3295.000000000001,recorded
2021-08-17,2384.000000000001,recorded
2021-08-18,3267.0000000000005,recorded
2021-08-19,2492.0,recorded
2021-08-20,2671.000000000001,recorded
2021-08-21,1432.9999999999998,recorded
2021-08-22,1259.9999999999998,recorded
2021-08-23,4324.000000000001,recorded
2021-08-24,2196.0000000000005,recorded
2021-08-25,3543.000000000002,recorded
2021-08-26,3901.000000000001,recorded
2021-08-27,2949.0000000000005,recorded
