date,reference_date,actual,predicted,absolute_error,status
2022-07-02,2022-06-25,1579.0,1629.0000000000002,50.00000000000023,evaluated
2022-07-03,2022-06-26,955.9999999999999,1528.0,572.0000000000001,evaluated
2022-07-04,2022-06-27,4074.000000000001,3262.0000000000005,812.0000000000005,evaluated
2022-07-05,2022-06-28,3881.0000000000014,2673.000000000001,1208.0000000000005,evaluated
2022-07-06,2022-06-29,3336.0000000000014,3683.000000000002,347.00000000000045,evaluated
2022-07-07,2022-06-30,3711.999999999999,4844.000000000001,1132.0000000000018,evaluated
2022-07-08,2022-07-01,2638.0000000000005,3023.0000000000014,385.0000000000009,evaluated
2022-07-09,2022-07-02,1659.9999999999998,1579.0,80.99999999999977,evaluated
2022-07-10,2022-07-03,1127.0000000000002,955.9999999999999,171.00000000000034,evaluated
2022-07-11,2022-07-04,3614.9999999999986,4074.000000000001,459.0000000000023,evaluated
2022-07-12,2022-07-05,2969.000000000001,3881.0000000000014,912.0000000000005,evaluated
2022-07-13,2022-07-06,4085.999999999999,3336.0000000000014,749.9999999999977,evaluated
2022-07-14,2022-07-07,3174.9999999999986,3711.999999999999,537.0000000000005,evaluated
2022-07-15,2022-07-08,2290.0,2638.0000000000005,348.00000000000045,evaluated
2022-07-16,2022-07-09,1363.999999999999,1659.9999999999998,296.0000000000007,evaluated
2022-07-17,2022-07-10,2067.0,1127.0000000000002,939.9999999999998,evaluated
2022-07-18,2022-07-11,3699.000000000001,3614.9999999999986,84.00000000000227,evaluated
2022-07-19,2022-07-12,2777.0000000000005,2969.000000000001,192.00000000000045,evaluated
2022-07-20,2022-07-13,3281.000000000001,4085.999999999999,804.9999999999982,evaluated
2022-07-21,2022-07-14,2188.000000000001,3174.9999999999986,986.9999999999977,evaluated
2022-07-22,2022-07-15,3729.000000000001,2290.0,1439.000000000001,evaluated
2022-07-23,2022-07-16,1263.9999999999995,1363.999999999999,99.99999999999955,evaluated
2022-07-24,2022-07-17,507.99999999999994,2067.0,1559.0,evaluated
2022-07-25,2022-07-18,4594.000000000003,3699.000000000001,895.0000000000018,evaluated
2022-07-26,2022-07-19,2919.9999999999995,2777.0000000000005,142.9999999999991,evaluated
