date,actual,baseline,random_forest,evaluated
2022-05-02,733.0,1456.0,3502.1038805839557,True
2022-05-03,4062.000000000002,3316.0,3251.2809644522135,True
2022-05-04,3850.000000000002,1788.9999999999986,2626.1545119876623,True
2022-05-05,4530.0,3125.0,2898.747173359394,True
2022-05-06,3270.000000000002,2870.0,3067.3767526205274,True
2022-05-07,1834.000000000001,1481.9999999999998,1726.30574269933,True
2022-05-08,3484.0000000000005,,1285.2088712121217,False
2022-05-09,3413.0000000000014,733.0,3733.3027927134954,True
2022-05-10,2831.000000000001,4062.000000000002,3637.049663892194,True
2022-05-11,2818.0000000000005,3850.000000000002,4034.456013763345,True
2022-05-12,3492.0000000000005,4530.0,4126.219644470021,True
2022-05-13,3051.0000000000014,3270.000000000002,3451.698749599344,True
2022-05-14,1873.000000000001,1834.000000000001,1678.0427080280829,True
2022-05-15,1364.0000000000002,3484.0000000000005,1322.3435007215012,True
2022-05-16,4682.000000000003,3413.0000000000014,3720.300420339523,True
2022-05-17,3835.000000000002,2831.000000000001,3074.5554083897705,True
2022-05-18,3785.000000000003,2818.0000000000005,3081.9641470996576,True
2022-05-19,2314.000000000001,3492.0000000000005,3762.832777509544,True
2022-05-20,5178.000000000001,3051.0000000000014,3392.7320355410075,True
2022-05-21,2095.000000000001,1873.000000000001,2131.266735264736,True
2022-05-22,2967.0,1364.0000000000002,1927.896505230881,True
2022-05-23,4095.000000000001,4682.000000000003,4183.4269955510745,True
2022-05-24,3173.0000000000014,3835.000000000002,3380.705467545238,True
2022-05-25,3381.000000000002,3785.000000000003,3733.151023867302,True
2022-05-26,4779.000000000001,2314.000000000001,3213.5128901731237,True
2022-05-27,2512.9999999999995,5178.000000000001,3993.6480938894447,True
2022-05-28,1931.0,2095.000000000001,1864.3622741141132,True
2022-05-29,2232.0,2967.0,1570.076860930737,True
2022-05-30,5252.000000000001,4095.000000000001,3735.468416239553,True
2022-05-31,2142.0000000000014,3173.0000000000014,3369.031180427592,True
2022-06-01,2592.0000000000005,3381.000000000002,3723.485837596642,True
2022-06-02,8298.000000000002,4779.000000000001,3774.073563050267,True
2022-06-03,5928.000000000002,2512.9999999999995,3482.7962369195443,True
2022-06-04,2133.0000000000005,1931.0,2494.8224303751813,True
2022-06-05,1392.0000000000002,2232.0,2135.6970389610397,True
2022-06-06,3377.0000000000014,5252.000000000001,4463.765721916973,True
2022-06-07,2377.0000000000014,2142.0000000000014,3180.4581896983213,True
2022-06-08,6652.000000000001,2592.0000000000005,3633.971679631945,True
2022-06-09,4612.0,8298.000000000002,3967.6217137146446,True
2022-06-10,4048.000000000002,5928.000000000002,3813.8727287631446,True
2022-06-11,2339.0,2133.0000000000005,2194.194076208515,True
2022-06-12,1536.0,1392.0000000000002,2305.005703944205,True
2022-06-13,2605.0,3377.0000000000014,4428.290336679045,True
2022-06-14,2686.0000000000014,2377.0000000000014,3628.327701001776,True
2022-06-15,5128.000000000002,6652.000000000001,3852.380402944867,True
2022-06-16,4809.0,4612.0,4019.135736975661,True
2022-06-17,3102.0000000000005,4048.000000000002,3589.0672356201103,True
2022-06-18,2112.0,2339.0,1867.1215637694634,True
2022-06-19,852.0000000000001,1536.0,2022.1408522588533,True
2022-06-20,6014.000000000004,2605.0,3667.974967725392,True
2022-06-21,2096.999999999999,2686.0000000000014,3391.7621735039206,True
2022-06-22,2452.0000000000014,5128.000000000002,4747.737681013188,True
2022-06-23,3593.0000000000005,4809.0,3747.5183277547676,True
2022-06-24,4274.0,3102.0000000000005,3196.9260134800843,True
2022-06-25,1629.0000000000002,2112.0,2114.244370209448,True
2022-06-26,1528.0,852.0000000000001,2062.473085541774,True
2022-06-27,3262.0000000000005,6014.000000000004,3804.6456898448796,True
2022-06-28,2673.000000000001,2096.999999999999,2671.5757009005465,True
2022-06-29,3683.000000000002,2452.0000000000014,3287.4508433492383,True
2022-06-30,4844.000000000001,3593.0000000000005,4002.427677179607,True
2022-07-01,3023.0000000000014,4274.0,4024.711567890998,True
2022-07-02,1579.0,1629.0000000000002,1789.3592555620019,True
2022-07-03,956.0,1528.0,1905.2033505591621,True
2022-07-04,4074.000000000001,3262.0000000000005,4159.149012949874,True
2022-07-05,3881.000000000002,2673.000000000001,2799.0026021636418,True
2022-07-06,3336.0000000000014,3683.000000000002,3778.8798861524947,True
2022-07-07,3711.999999999999,4844.000000000001,4024.6020338664775,True
2022-07-08,2638.0000000000005,3023.0000000000014,3274.767645237838,True
2022-07-09,1659.9999999999998,1579.0,1711.7353986001401,True
2022-07-10,1127.0000000000002,956.0,1589.677257980445,True
2022-07-11,3614.999999999999,4074.000000000001,4127.574508726835,True
2022-07-12,2969.000000000001,3881.000000000002,2969.4647096920858,True
2022-07-13,4085.999999999999,3336.0000000000014,3639.9160175580096,True
2022-07-14,3174.999999999998,3711.999999999999,3565.0494392960345,True
2022-07-15,2290.0,2638.0000000000005,2991.068262608277,True
2022-07-16,1363.999999999999,1659.9999999999998,1497.4187367058923,True
2022-07-17,2067.0,1127.0000000000002,1453.6489255050503,True
2022-07-18,3699.000000000001,3614.999999999999,4006.894621239048,True
2022-07-19,2777.0000000000005,2969.000000000001,3080.341039970355,True
2022-07-20,3281.000000000001,4085.999999999999,3718.0258481051815,True
2022-07-21,2188.000000000001,3174.999999999998,3237.92648488658,True
2022-07-22,3729.000000000001,2290.0,3043.157844041378,True
2022-07-23,1263.9999999999995,1363.999999999999,1778.0168353762247,True
2022-07-24,508.0,2067.0,1012.434656024531,True
2022-07-25,4594.000000000003,3699.000000000001,3598.3593492682426,True
2022-07-26,2919.9999999999995,2777.0000000000005,2792.654767194453,True
2022-07-27,3336.000000000001,3281.000000000001,3535.115495568889,True
2022-07-28,3274.0,2188.000000000001,3311.969590739385,True
2022-07-29,3364.9999999999995,3729.000000000001,2972.7982460388052,True
2022-07-30,1564.9999999999998,1263.9999999999995,1466.3193098387385,True
2022-07-31,1627.0,508.0,1130.0745313852813,True
2022-08-01,2964.000000000001,4594.000000000003,4101.850416053414,True
2022-08-02,3232.9999999999995,2919.9999999999995,3100.22362385071,True
2022-08-03,2101.0,3336.000000000001,3091.2905418204004,True
2022-08-04,2750.000000000001,3274.0,3010.6507193020807,True
2022-08-05,3059.0,3364.9999999999995,3398.438087730203,True
2022-08-06,1101.9999999999995,1564.9999999999998,1451.8534894213235,True
2022-08-07,1573.0000000000002,1627.0,1303.142179473304,True
2022-08-08,3516.000000000001,2964.000000000001,3609.611890372702,True
2022-08-09,2432.0,3232.9999999999995,2892.173102737861,True
2022-08-10,2545.0,2101.0,3038.0728533379365,True
2022-08-11,3897.000000000001,2750.000000000001,3394.13558916196,True
2022-08-12,2793.0000000000005,3059.0,3012.3530424515634,True
2022-08-13,608.0,1101.9999999999995,1460.6339556060013,True
2022-08-14,320.0,1573.0000000000002,1402.3776106532346,True
2022-08-15,1018.0,3516.000000000001,3185.3360558261174,True
2022-08-16,4604.999999999999,2432.0,2889.448633777081,True
2022-08-17,2699.000000000001,2545.0,3041.6059377728147,True
2022-08-18,2894.000000000001,3897.000000000001,3462.5858575709594,True
2022-08-19,2346.000000000001,2793.0000000000005,3191.3239345867128,True
2022-08-20,1470.9999999999995,608.0,1587.8491803751795,True
2022-08-21,2001.0,320.0,1546.3167016594514,True
2022-08-22,3720.0,1018.0,3888.019614802761,True
2022-08-23,2546.0,4604.999999999999,3386.181062933981,True
2022-08-24,2644.0000000000005,2699.000000000001,3236.0558752628676,True
2022-08-25,2521.000000000001,2894.000000000001,3569.6871319499387,True
2022-08-26,3326.0000000000014,2346.000000000001,3036.441946503849,True
2022-08-27,1460.0,1470.9999999999995,1543.854529640294,True
2022-08-28,652.0,2001.0,1317.509267857142,True
2022-08-29,4034.0000000000023,3720.0,3858.1678609307355,True
2022-08-30,2670.999999999999,2546.0,2832.007238412514,True
2022-08-31,4154.000000000001,2644.0000000000005,3120.7706702888654,True
2022-09-01,2311.0,2521.000000000001,2704.8425388958135,True
2022-09-02,3454.000000000001,3326.0000000000014,3332.814702681761,True
2022-09-03,1932.9999999999995,1460.0,1568.8506183155082,True
2022-09-04,684.0000000000002,652.0,1452.5234875105734,True
2022-09-05,4178.000000000003,4034.0000000000023,3980.696523481808,True
2022-09-06,2236.0,2670.999999999999,2591.7347768013988,True
2022-09-07,3297.0000000000005,4154.000000000001,3603.661207971508,True
2022-09-08,3898.000000000004,2311.0,3079.0388452146162,True
2022-09-09,3911.000000000002,3454.000000000001,3186.670464824912,True
2022-09-10,1616.0,1932.9999999999995,1744.101727311939,True
2022-09-11,1352.0000000000002,684.0000000000002,1414.9853275613277,True
2022-09-12,3911.000000000002,4178.000000000003,3917.099737378222,True
2022-09-13,3083.0000000000005,2236.0,3071.5591821591242,True
2022-09-14,3035.000000000002,3297.0000000000005,3593.652708753341,True
2022-09-15,2775.000000000002,3898.000000000004,3621.162534584884,True
2022-09-16,1769.000000000001,3911.000000000002,3728.1848028152267,True
2022-09-17,1602.999999999999,1616.0,1173.1392122114,True
2022-09-18,2845.0,1352.0000000000002,1327.7337055930177,True
2022-09-19,3948.0,3911.000000000002,3887.3580406478513,True
2022-09-20,3370.0000000000005,3083.0000000000005,2760.523247064941,True
2022-09-21,4196.000000000003,3035.000000000002,3002.710487004661,True
2022-09-22,2724.999999999999,2775.000000000002,3139.2373258950493,True
2022-09-23,3308.000000000001,1769.000000000001,3200.6528991348227,True
2022-09-24,1577.9999999999998,1602.999999999999,1631.9537398336145,True
2022-09-25,1291.0,2845.0,1294.6665238095234,True
2022-09-26,3862.000000000002,3948.0,4127.726684941019,True
2022-09-27,2762.0,3370.0000000000005,3093.4154384216486,True
2022-09-28,2153.0000000000005,4196.000000000003,4007.8770247779485,True
2022-09-29,3734.0,2724.999999999999,3157.6409993863567,True
2022-09-30,3103.0000000000014,3308.000000000001,3126.112165962552,True
2022-10-01,1982.0000000000005,1577.9999999999998,1640.4465842171371,True
2022-10-02,1500.0,1291.0,1355.1605295379904,True
2022-10-03,3975.000000000001,3862.000000000002,3868.016473610576,True
2022-10-04,2840.0,2762.0,2778.0043193959405,True
2022-10-05,2792.0000000000005,2153.0000000000005,3037.794398444491,True
2022-10-06,3535.999999999999,3734.0,3795.036276961712,True
2022-10-07,2727.0,3103.0000000000014,2963.1119514103325,True
2022-10-08,1475.0,1982.0000000000005,1555.0986225633137,True
2022-10-09,1903.0,1500.0,1151.5117160894663,True
2022-10-10,3674.000000000001,3975.000000000001,3959.493623666081,True
2022-10-11,2610.0000000000005,2840.0,2750.564592121327,True
2022-10-12,4690.000000000005,2792.0000000000005,3271.6537773014757,True
2022-10-13,2263.0,3535.999999999999,3637.222384992538,True
2022-10-14,3009.0,2727.0,3222.385133564272,True
2022-10-15,1733.9999999999995,1475.0,1590.047600421435,True
2022-10-16,1132.0000000000002,1903.0,1452.0987700783694,True
2022-10-17,4939.0,3674.000000000001,3988.475534630058,True
2022-10-18,2482.0,2610.0000000000005,3051.2327424896457,True
2022-10-19,3167.000000000001,4690.000000000005,3975.353168717269,True
2022-10-20,3147.000000000002,2263.0,2994.4913785837102,True
2022-10-21,2687.0000000000005,3009.0,2993.502630936849,True
2022-10-22,1795.999999999999,1733.9999999999995,1551.6170923303882,True
2022-10-23,1340.0,1132.0000000000002,1104.847204316517,True
2022-10-24,4541.999999999999,4939.0,4127.669169647816,True
2022-10-25,3277.0000000000005,2482.0,2785.614808845019,True
